place_name,place_label,coordinate1,coordinate2,district
Oak Park Branch Library,library,32.734949,-117.079953,4
Valencia Park/Malcolm X Branch Library,library,32.710529,-117.08409,4
Saint Mary Episcopal Church,religious_site,32.763276,-117.115633,9
Celestial Church Of Christ San Diego Parish,religious_site,32.75864,-117.073189,9
Family Care,hospital,32.749564,-117.101191,9
Alvarado Hospital Medical Center,hospital,32.775628,-117.057089,9
Planned Parenthood - City Heights Health Center,abortion_clinic,32.749017,-117.101965,9
El Super #51,grocery_store,32.74866,-117.0988,9
Families Market,grocery_store,32.740359,-117.107174,9
"Murphy's Market",grocery_store,32.743376,-117.101053,9
Fairmount Supermarket,grocery_store,32.738424,-117.101125,9
Supermercado Murphy,grocery_store,32.749635,-117.095976,9
City Heights Market,grocery_store,32.749631,-117.094752,9
Eagle Food Center,grocery_store,32.74927,-117.094409,9
University Produce Food Market,grocery_store,32.749635,-117.087854,9
Northgate Market,grocery_store,32.746699,-117.078539,9
City Heights/Weingart Branch Library,library,32.747643,-117.100245,9
Self-Realization Fellowship Temple,religious_site,32.73718256,-117.1644426,3
St. Paul's Episcopal Cathedral,religious_site,32.73403329,-117.1596151,3
Mission Hills United Church of Christ,religious_site,32.75095882,-117.1743334,3
Mission Hills United Methodist Church,religious_site,32.7506777,-117.176109,3
"San Diego First Church of Christ, Scientist",religious_site,32.731192,-117.1632072,3
First Lutheran Church,religious_site,32.72001649,-117.1621873,3
First Presbyterian Church of San Diego,religious_site,32.72334628,-117.1617981,3
Light Church Downtown,religious_site,32.72825999,-117.171821,3
Central Christian Church,religious_site,32.72497938,-117.1625451,3
Ohr Shalom Synagogue,religious_site,32.73157504,-117.1622861,3
Temple Beth Israel,religious_site,32.75375131,-117.1931449,3
Church Of Scientology,religious_site,32.71931223,-117.1612305,3
UC San Diego Medical Center,hospital,32.75387709,-117.1655502,3
Scripps Mercy Hospital,hospital,32.75145984,-117.1604575,3
Select Specialty Hospital,hospital,32.74966043,-117.1597897,3
Sharp Rees-Stealy Downtown Medical Clinic,hospital,32.72530752,-117.1617107,3
Elm Street Family Health Center,hospital,32.7243031,-117.163238,3
Hillcrest Family Health Center,hospital,32.75169633,-117.1620312,3
Planned Parenthood First Avenue,abortion_clinic,32.72646697,-117.1636264,3
Owen Clinic,HIV_clinic,32.75312369,-117.1652486,3
AHF Healthcare Center,HIV_clinic,32.74287623,-117.1607119,3
Safe Lab STD Testing Center,HIV_clinic,32.7394635,-117.1623898,3
Safe Lab STD Testing Center,HIV_clinic,32.72472083,-117.1636518,3
Hillcrest Pawnbrokers,gun_store,32.74595079,-117.1597221,3
Klover Dispensary,dispensary,32.74326239,-117.1883458,3
Vons,grocery_store,32.74936142,-117.1682138,3
CVS,pharmacy,32.72487379,-117.160531,3
Rite Aid,pharmacy,32.72007283,-117.1690259,3
The Church of San Diego,religious_site,32.90757485,-117.1718439,6
The Church of Jesus Christ of Latter-day Saints,religious_site,32.92199508,-117.1275286,6
Grace Bible Church San Diego,religious_site,32.80462628,-117.1839033,6
Clairemont Christian Church,religious_site,32.82225464,-117.2110212,6
Cao Dai Temple of San Diego,religious_site,32.83165788,-117.2124267,6
"Hanuman Temple, San Diego",religious_site,32.8966779,-117.1290539,6
san diego genesee,hospital,32.91466722,-117.1426512,6
Rady Children’s Hospital-San Diego,hospital,32.80942742,-117.1440586,6
Kaiser Permanente San Diego Medical Center,hospital,32.83087182,-117.1348722,6
Planned Parenthood - Mira Mesa Health Center,abortion_clinic,32.9156042,-117.1429905,6
Planned Parenthood - Kearny Mesa Joan & Irwin Jacobs Center,abortion_clinic,32.83607621,-117.1652203,6
Gunfighter Tactical,gun_store,32.89532328,-117.1437546,6
Socal Gun,gun_store,32.83101445,-117.1530243,6
BaM Body and Mind Dispensary,dispensary,32.88714096,-117.1464639,6
Cannabist San Diego,dispensary,32.80976522,-117.2112103,6
MedMen,dispensary,32.83669462,-117.1462531,6
CVS Pharmacy,pharmacy,32.91187207,-117.1462485,6
CVS Pharmacy,pharmacy,32.86963749,-117.2028968,6
Good Morning Pharmacy,pharmacy,32.83501412,-117.1474502,6
CVS Pharmacy,pharmacy,32.82448427,-117.1780059,6
H-Mart Balboa,grocery_store,32.82203221,-117.1531961,6
Food4Less,grocery_store,32.83243612,-117.15793,6
Vons,grocery_store,32.81978807,-117.1760161,6
Aldi,grocery_store,32.9072813,-117.1705684,6
Riley School,school,32.81056908,-117.1787167,6
Whittier,school,32.80570866,-117.1996272,6
Temple Bethel del Cladic,religious_site,32.70328815,-117.116778,8
Buddhist Temple of San Diego,religious_site,32.71384165,-117.1225084,8
Ocean View Church,religious_site,32.58610316,-117.0704411,8
San Diego Church,religious_site,32.70668101,-117.1391399,8
Hospital & Institute,hospital,32.57276726,-117.0619568,8
Planned Parenthood - Chula Vista Health Center,abortion_clinic,32.6053444,-117.0743857,8
Harbor Collective,dispensary,32.69396767,-117.1314461,8
Luxury Cure Healing Center,dispensary,32.55472643,-117.0384057,8
Urbn Leaf San Ysidro Cannabis Dispensary,dispensary,32.54792576,-117.0289643,8
Rite Aid,pharmacy,32.58125476,-117.0870495,8
Border Village Pharmacy,pharmacy,32.5507291,-117.0314312,8
CVS Pharmacy,pharmacy,32.70495977,-117.1532471,8
Eldahmy Wellness Pharmacy,pharmacy,32.70308194,-117.1388275,8
Northgate Market,grocery_store,32.69206084,-117.1032435,8
Mike's Market,grocery_store,32.70181188,-117.1152597,8
Vons,grocery_store,32.58543882,-117.0357476,8
El Picador Foods,grocery_store,32.5754581,-117.0546304,8
Los Altos Elementary School,school,32.57336406,-117.0507634,8
Mountain View School,school,32.69930994,-117.1190377,8
